Year,Sex,Age,Lives,Deaths,Cause of Death,Expected Deaths,Adjusted Age
1950,Female,83,16341,1426,Other,1352,83
1950,Female,84,89238,7685,Cancer,7393,84
1950,Female,85,98712,8770,Influenza,8355,85
1950,Female,86,82616,7452,Accidents,6951,86
1950,Female,87,58345,5308,Other,4973,87
1950,Female,88,98419,9072,COVID-19,8393,88
1950,Female,89,93301,8559,Influenza,8242,89
1950,Female,90,26288,2526,Heart Disease,2328,90
1950,Female,91,17743,1691,Cancer,1571,91
1950,Female,92,70824,6665,Other,6434,92
1950,Female,93,18015,1753,Influenza,1666,93
1950,Female,94,10688,1041,Cancer,981,94
1950,Female,95,55384,5357,COVID-19,5271,95
1950,Female,96,65576,6547,Diabetes,6258,96
1950,Female,97,90802,9080,Other,8714,97
1950,Female,98,69064,6906,Stroke,6665,98
1950,Female,99,71107,7110,Heart Disease,6916,99
1951,Male,0,45321,229,COVID-19,139,0
1951,Male,1,79471,421,COVID-19,239,1
1951,Male,2,47265,343,Other,280,2
1951,Male,3,53197,389,COVID-19,334,3
1951,Male,4,12868,92,Other,94,4
1951,Male,5,67639,602,Stroke,505,5
1951,Male,6,60603,547,Heart Disease,590,6
1951,Male,7,48745,574,Influenza,465,7
1951,Male,8,90325,1017,Cancer,1050,8
1951,Male,9,96722,1289,Other,1325,9
1951,Male,10,25382,344,Other,372,10
1951,Male,11,83255,1220,Cancer,1142,11
1951,Male,12,68784,1147,Stroke,1092,12
1951,Male,13,17613,311,Alzheimer's,270,13
1951,Male,14,67725,1214,COVID-19,1202,14
1951,Male,15,65389,1257,Cancer,1279,15
1951,Male,16,27169,506,Other,498,16
1951,Male,17,18791,379,Cancer,372,17
1951,Male,18,60338,1254,Other,1166,18
1951,Male,19,69333,1607,Cancer,1545,19
1951,Male,20,57492,1463,Other,1453,20
1951,Male,21,35248,922,Alzheimer's,815,21
1951,Male,22,66382,1733,Other,1635,22
1951,Male,23,95548,2623,Heart Disease,2462,23
1951,Male,24,35241,997,Stroke,987,24
1951,Male,25,89436,2682,COVID-19,2607,25
1951,Male,26,46883,1407,Alzheimer's,1277,26
1951,Male,27,36802,1184,Heart Disease,1061,27
1951,Male,28,49659,1648,Diabetes,1476,28
1951,Male,29,82225,2590,Influenza,2518,29
1951,Male,30,28359,988,Influenza,923,30
1951,Male,31,31495,1109,Heart Disease,1041,31
1951,Male,32,23655,836,Other,803,32
1951,Male,33,45873,1617,Kidney Disease,1621,33
1951,Male,34,66553,2535,Cancer,2307,34
1951,Male,35,17178,690,Kidney Disease,624,35
1951,Male,36,12765,507,Kidney Disease,489,36
1951,Male,37,61543,2517,Other,2430,37
1951,Male,38,67255,2761,Other,2701,38
1951,Male,39,51843,2276,Alzheimer's,2058,39
1951,Male,40,85053,3786,Accidents,3543,40
1951,Male,41,18938,851,COVID-19,805,41
1951,Male,42,61672,2837,Heart Disease,2725,42
1951,Male,43,22606,1047,Alzheimer's,997,43
1951,Male,44,70259,3416,Alzheimer's,3197,44
1951,Male,45,98735,4791,Other,4603,45
1951,Male,46,81389,4136,Accidents,3892,46
1951,Male,47,14371,717,Cancer,710,47
1951,Male,48,17008,899,Heart Disease,845,48
1951,Male,49,30730,1595,Other,1541,49
1951,Male,50,47187,2554,Diabetes,2521,50
1951,Male,51,89339,4996,Cancer,4459,51
1951,Male,52,79877,4411,Other,4141,52
1951,Male,53,87090,4993,Influenza,4766,53
1951,Male,54,97637,5659,Other,5324,54
1951,Male,55,36396,2195,Other,2015,55
1951,Male,56,53868,3202,Heart Disease,3013,56
1951,Male,57,90679,5607,Accidents,5328,57
1951,Male,58,62369,3915,Heart Disease,3625,58
1951,Male,59,56617,3658,Other,3394,59
1951,Male,60,34185,2192,Cancer,2113,60
1951,Male,61,31633,2041,Kidney Disease,1925,61
1951,Male,62,11457,750,Accidents,723,62
1951,Male,63,46272,3144,Heart Disease,2952,63
1951,Male,64,74025,5001,Accidents,4905,64
1951,Male,65,74678,5132,Other,4862,65
1951,Male,66,93835,6754,Stroke,6509,66
1951,Male,67,28966,2072,Stroke,1976,67
1951,Male,68,18233,1293,Heart Disease,1241,68
1951,Male,69,28547,2116,Other,1983,69
1951,Male,70,62244,4611,Other,4419,70
1951,Male,71,42607,3270,Alzheimer's,3019,71
1951,Male,72,14675,1102,Cancer,1041,72
1951,Male,73,29811,2356,Other,2210,73
1951,Male,74,56967,4532,Accidents,4287,74
1951,Male,75,28778,2308,Cancer,2133,75
1951,Male,76,31723,2559,Accidents,2417,76
1951,Male,77,74505,5900,Other,5767,77
1951,Male,78,39451,3303,Heart Disease,2989,78
1951,Male,79,42895,3528,Cancer,3303,79
1951,Male,80,33346,2776,Heart Disease,2643,80
1951,Male,81,96251,8127,COVID-19,7915,81
1951,Male,82,64290,5465,Cancer,5236,82
1951,Male,83,10384,899,Other,857,83
1951,Male,84,81107,7054,Cancer,6634,84
1951,Male,85,64194,5617,Other,5346,85
1951,Male,86,49196,4471,Influenza,4247,86
1951,Male,87,96672,8710,Cancer,8302,87
1951,Male,88,10850,993,Influenza,949,88
1951,Male,89,87347,7997,Diabetes,7793,89
1951,Male,90,58210,5375,Diabetes,5307,90
1951,Male,91,24329,2299,Other,2208,91
1951,Male,92,27353,2573,Cancer,2503,92
1951,Male,93,45881,4362,Influenza,4172,93
1951,Male,94,61352,5980,Heart Disease,5807,94
1951,Male,95,39798,3979,Cancer,3735,95
1951,Male,96,39356,3919,Cancer,3835,96
1951,Male,97,65481,6548,Kidney Disease,6211,97
1951,Male,98,94132,9413,Accidents,9255,98
1951,Male,99,14523,1452,Cancer,1423,99
1951,Female,0,32267,158,Other,144,0
1951,Female,1,72245,382,Heart Disease,354,1
1951,Female,2,86072,509,Alzheimer's,536,2
1951,Female,3,94742,601,Kidney Disease,690,3
1951,Female,4,91506,843,Other,756,4
1951,Female,5,74891,687,COVID-19,594,5
1951,Female,6,49572,528,Stroke,438,6
1951,Female,7,87051,942,Accidents,1013,7
1951,Female,8,22193,232,Stroke,255,8
1951,Female,9,47671,589,Stroke,554,9
1951,Female,10,11673,165,COVID-19,161,10
1951,Female,11,81273,1198,Stroke,1032,11
1951,Female,12,10065,163,Alzheimer's,137,12
1951,Female,13,14579,243,Heart Disease,252,13
1951,Female,14,35962,701,COVID-19,634,14
1951,Female,15,39173,760,Cancer,696,15
1951,Female,16,94471,2091,Influenza,1775,16
1951,Female,17,12453,261,Other,279,17
1951,Female,18,13180,275,Stroke,268,18
1951,Female,19,65262,1555,Heart Disease,1405,19
1951,Female,20,31043,727,Diabetes,715,20
1951,Female,21,54237,1408,Cancer,1221,21
1951,Female,22,45985,1073,Other,1156,22
1951,Female,23,30197,814,Influenza,753,23
1951,Female,24,64914,1924,Heart Disease,1738,24
1951,Female,25,96671,3127,Heart Disease,2715,25
1951,Female,26,53146,1613,Accidents,1593,26
1951,Female,27,83368,2498,Stroke,2494,27
1951,Female,28,78541,2563,COVID-19,2446,28
1951,Female,29,67868,2312,Stroke,2113,29
1951,Female,30,14978,487,Heart Disease,493,30
1951,Female,31,73261,2542,Kidney Disease,2464,31
1951,Female,32,46644,1708,Heart Disease,1663,32
1951,Female,33,82712,3077,Heart Disease,3054,33
1951,Female,34,46345,1810,Cancer,1647,34
1951,Female,35,32677,1201,Other,1203,35
1951,Female,36,10820,443,Accidents,399,36
1951,Female,37,79936,3197,Heart Disease,3121,37
1951,Female,38,37973,1578,Other,1459,38
1951,Female,39,58308,2491,Heart Disease,2438,39
1951,Female,40,38761,1682,Alzheimer's,1628,40
1951,Female,41,84294,3743,Cancer,3550,41
1951,Female,42,40606,1893,COVID-19,1804,42
1951,Female,43,75448,3549,Stroke,3540,43
1951,Female,44,99357,4750,Accidents,4641,44
1951,Female,45,93137,4625,Other,4375,45
1951,Female,46,57222,2853,Cancer,2707,46
1951,Female,47,16262,828,COVID-19,780,47
1951,Female,48,77915,4015,Diabetes,3734,48
1951,Female,49,39825,2202,Alzheimer's,2000,49
1951,Female,50,83000,4529,Alzheimer's,4311,50
1951,Female,51,63636,3520,Accidents,3310,51
1951,Female,52,11100,605,Other,608,52
1951,Female,53,62861,3624,Accidents,3428,53
1951,Female,54,91347,5328,Heart Disease,4948,54
1951,Female,55,10957,631,Accidents,605,55
1951,Female,56,70481,4282,Diabetes,4078,56
1951,Female,57,49797,3125,Kidney Disease,2922,57
1951,Female,58,79455,4830,Heart Disease,4751,58
1951,Female,59,77058,4885,Accidents,4522,59
1951,Female,60,39551,2544,Other,2427,60
1951,Female,61,58733,3851,Influenza,3585,61
1951,Female,62,77919,5185,Diabetes,4892,62
1951,Female,63,52203,3509,Diabetes,3374,63
1951,Female,64,15285,1034,COVID-19,996,64
1951,Female,65,87261,6083,Cancer,5647,65
1951,Female,66,48445,3474,Stroke,3167,66
1951,Female,67,85944,6080,Stroke,5807,67
1951,Female,68,82386,5947,Heart Disease,5656,68
1951,Female,69,21925,1610,Diabetes,1533,69
1951,Female,70,49142,3604,COVID-19,3433,70
1951,Female,71,95156,7056,Other,6827,71
1951,Female,72,53705,3925,Stroke,3863,72
1951,Female,73,48838,3781,Heart Disease,3623,73
1951,Female,74,27493,2139,Other,2033,74
1951,Female,75,11102,880,Cancer,845,75
1951,Female,76,78192,6291,Other,5909,76
1951,Female,77,41500,3311,Accidents,3172,77
1951,Female,78,57457,4638,COVID-19,4495,78
1951,Female,79,40005,3334,Alzheimer's,3158,79
1951,Female,80,58059,4726,Heart Disease,4630,80
1951,Female,81,21488,1841,Heart Disease,1724,81
1951,Female,82,42167,3660,Stroke,3433,82
1951,Female,83,59129,5221,Heart Disease,4829,83
1951,Female,84,52732,4721,Alzheimer's,4438,84
1951,Female,85,73628,6603,Influenza,6318,85
1951,Female,86,47808,4282,Stroke,4051,86
1951,Female,87,76520,6913,Diabetes,6563,87
1951,Female,88,55137,5128,COVID-19,4776,88
1951,Female,89,76295,7140,Diabetes,6597,89
1951,Female,90,13883,1311,COVID-19,1242,90
1951,Female,91,55124,5237,Accidents,5013,91
1951,Female,92,31461,3031,Other,2860,92
1951,Female,93,53628,5204,Stroke,5014,93
1951,Female,94,20297,1989,COVID-19,1909,94
1951,Female,95,44248,4402,Cancer,4198,95
1951,Female,96,80377,8001,Alzheimer's,7716,96
1951,Female,97,89007,8900,Cancer,8729,97
1951,Female,98,18767,1876,Other,1826,98
1951,Female,99,84391,8439,Influenza,8240,99
1952,Male,0,39471,178,Other,144,0
1952,Male,1,37607,210,Stroke,229,1
1952,Male,2,21392,122,COVID-19,127,2
1952,Male,3,71947,505,Alzheimer's,401,3
1952,Male,4,53568,433,Accidents,431,4
1952,Male,5,87009,725,COVID-19,732,5
1952,Male,6,14116,147,Heart Disease,157,6
1952,Male,7,57291,763,Other,568,7
1952,Male,8,35680,464,Cancer,464,8
1952,Male,9,28220,369,COVID-19,347,9
1952,Male,10,43288,607,COVID-19,541,10
1952,Male,11,84019,1247,Cancer,1095,11
1952,Male,12,23610,335,Other,325,12
1952,Male,13,49418,828,COVID-19,722,13
1952,Male,14,63086,1111,Cancer,1104,14
1952,Male,15,68341,1327,Kidney Disease,1328,15
1952,Male,16,75770,1525,Accidents,1425,16
1952,Male,17,73513,1564,Diabetes,1375,17
1952,Male,18,94850,2123,Heart Disease,2161,18
1952,Male,19,80753,1875,COVID-19,1848,19
1952,Male,20,76895,1853,Heart Disease,1831,20
1952,Male,21,82969,2067,Diabetes,1987,21
1952,Male,22,87439,2229,Alzheimer's,2140,22
1952,Male,23,30040,777,Accidents,814,23
1952,Male,24,90497,2560,Accidents,2366,24
1952,Male,25,89914,2732,Influenza,2463,25
1952,Male,26,47110,1424,Diabetes,1498,26
1952,Male,27,64213,1911,Accidents,1944,27
1952,Male,28,49510,1619,Other,1522,28
1952,Male,29,49018,1583,Other,1602,29
1952,Male,30,88162,2949,Influenza,2992,30
1952,Male,31,70677,2451,Kidney Disease,2247,31
1952,Male,32,66685,2589,Other,2328,32
1952,Male,33,90687,3319,Other,3268,33
1952,Male,34,21418,791,Accidents,801,34
1952,Male,35,32766,1273,Accidents,1250,35
1952,Male,36,30200,1236,Diabetes,1131,36
1952,Male,37,51107,2081,COVID-19,1995,37
1952,Male,38,32160,1298,COVID-19,1278,38
1952,Male,39,69339,3058,Accidents,2798,39
1952,Male,40,59788,2694,Alzheimer's,2457,40
1952,Male,41,33474,1469,Cancer,1429,41
1952,Male,42,90443,4151,COVID-19,3981,42
1952,Male,43,91859,4291,Stroke,4106,43
1952,Male,44,88574,4299,COVID-19,3987,44
1952,Male,45,20964,983,Other,981,45
1952,Male,46,13568,686,COVID-19,651,46
1952,Male,47,40281,2042,Alzheimer's,1915,47
1952,Male,48,98472,5185,Kidney Disease,4884,48
1952,Male,49,14356,740,Alzheimer's,728,49
1952,Male,50,38423,2109,Accidents,1971,50
1952,Male,51,82568,4614,Accidents,4265,51
1952,Male,52,97227,5494,Cancer,5224,52
1952,Male,53,84016,4779,Kidney Disease,4502,53
1952,Male,54,23096,1381,Other,1273,54
1952,Male,55,54936,3325,Other,3101,55
1952,Male,56,60865,3655,Stroke,3363,56
1952,Male,57,35936,2137,Cancer,2049,57
1952,Male,58,95977,6004,Stroke,5723,58
1952,Male,59,64524,4071,Other,3757,59
1952,Male,60,41351,2617,Other,2553,60
1952,Male,61,54625,3559,COVID-19,3447,61
1952,Male,62,94933,6303,Heart Disease,5967,62
1952,Male,63,59742,4003,Accidents,3823,63
1952,Male,64,99661,6663,Other,6567,64
1952,Male,65,22499,1541,Cancer,1489,65
1952,Male,66,79493,5668,Alzheimer's,5050,66
1952,Male,67,88403,6218,Alzheimer's,6009,67
1952,Male,68,88053,6344,Accidents,5973,68
1952,Male,69,39208,2912,Stroke,2753,69
1952,Male,70,43741,3177,Other,3158,70
1952,Male,71,49690,3759,Influenza,3509,71
1952,Male,72,23755,1784,Heart Disease,1721,72
1952,Male,73,37593,2833,Other,2745,73
1952,Male,74,94843,7374,Accidents,7002,74
1952,Male,75,23785,1841,Accidents,1830,75
1952,Male,76,31237,2540,Other,2393,76
1952,Male,77,84414,6780,Cancer,6465,77
1952,Male,78,29768,2449,Cancer,2267,78
1952,Male,79,53855,4520,Accidents,4303,79
1952,Male,80,29331,2468,Heart Disease,2364,80
1952,Male,81,31132,2696,Heart Disease,2512,81
1952,Male,82,49749,4270,Kidney Disease,4058,82
1952,Male,83,51371,4388,Stroke,4200,83
1952,Male,84,60855,5183,Influenza,5050,84
1952,Male,85,73416,6479,Other,6196,85
1952,Male,86,70855,6427,Heart Disease,6027,86
1952,Male,87,30743,2821,Cancer,2592,87
1952,Male,88,62396,5803,Accidents,5444,88
1952,Male,89,33679,3087,Stroke,2968,89
1952,Male,90,28330,2641,Stroke,2532,90
1952,Male,91,96108,9132,Other,8861,91
1952,Male,92,84430,8262,Stroke,7636,92
1952,Male,93,91091,8959,COVID-19,8426,93
1952,Male,94,21096,2079,COVID-19,1964,94
1952,Male,95,58475,5785,COVID-19,5578,95
1952,Male,96,95323,9532,Accidents,8980,96
1952,Male,97,83416,8341,Heart Disease,7961,97
1952,Male,98,81514,8151,Other,7886,98
1952,Male,99,75708,7570,Stroke,7282,99
1952,Female,0,90849,259,Other,372,0
1952,Female,1,55277,306,Heart Disease,226,1
1952,Female,2,46028,178,Stroke,224,2
1952,Female,3,51921,400,Alzheimer's,353,3
1952,Female,4,70092,609,Stroke,696,4
1952,Female,5,69354,688,Accidents,647,5
1952,Female,6,61969,556,Accidents,625,6
1952,Female,7,48244,556,Cancer,524,7
1952,Female,8,94874,970,Heart Disease,1092,8
1952,Female,9,72357,975,Heart Disease,923,9
1952,Female,10,88586,1246,Diabetes,1474,10
1952,Female,11,78222,1065,Stroke,1122,11
1952,Female,12,64916,1117,Stroke,966,12
1952,Female,13,12763,235,Diabetes,198,13
1952,Female,14,84907,1551,Other,1478,14
1952,Female,15,16533,321,Stroke,299,15
1952,Female,16,45830,857,COVID-19,775,16
1952,Female,17,95056,2090,COVID-19,1960,17
1952,Female,18,11029,253,Accidents,221,18
1952,Female,19,46112,1083,Cancer,1083,19
1952,Female,20,35585,815,Heart Disease,819,20
1952,Female,21,43239,1047,Other,1025,21
1952,Female,22,71968,1859,Accidents,1651,22
1952,Female,23,82141,2256,Kidney Disease,2206,23
1952,Female,24,13609,360,COVID-19,386,24
1952,Female,25,66622,1927,Other,1875,25
1952,Female,26,34154,1023,Heart Disease,946,26
1952,Female,27,32430,995,Heart Disease,931,27
1952,Female,28,62377,1825,COVID-19,1761,28
1952,Female,29,51792,1713,COVID-19,1591,29
1952,Female,30,28791,968,Other,1021,30
1952,Female,31,70684,2463,Other,2249,31
1952,Female,32,65671,2477,Accidents,2314,32
1952,Female,33,40276,1455,COVID-19,1391,33
1952,Female,34,98125,3935,COVID-19,3463,34
1952,Female,35,27513,1098,Other,1037,35
1952,Female,36,71954,2903,Cancer,2763,36
1952,Female,37,86953,3532,Heart Disease,3431,37
1952,Female,38,37236,1535,Heart Disease,1473,38
1952,Female,39,85672,3701,Alzheimer's,3521,39
1952,Female,40,17741,771,Heart Disease,726,40
1952,Female,41,34516,1553,Cancer,1430,41
1952,Female,42,34863,1605,Stroke,1516,42
1952,Female,43,97131,4597,Other,4420,43
1952,Female,44,91261,4346,COVID-19,3976,44
1952,Female,45,92386,4504,Cancer,4230,45
1952,Female,46,66382,3279,Heart Disease,3167,46
1952,Female,47,54286,2773,Accidents,2628,47
1952,Female,48,86374,4455,Stroke,4126,48
1952,Female,49,37623,2023,Alzheimer's,1853,49
1952,Female,50,37481,2027,Alzheimer's,1913,50
1952,Female,51,27730,1514,Alzheimer's,1427,51
1952,Female,52,21551,1210,Stroke,1144,52
1952,Female,53,26338,1502,Other,1404,53
1952,Female,54,59187,3463,COVID-19,3264,54
1952,Female,55,51012,3069,Heart Disease,2815,55
1952,Female,56,70091,4139,Influenza,4067,56
1952,Female,57,17541,1082,Other,1007,57
1952,Female,58,50145,3115,Kidney Disease,2955,58
1952,Female,59,31786,2059,Cancer,1940,59
1952,Female,60,28712,1793,Alzheimer's,1739,60
1952,Female,61,32658,2140,Diabetes,2022,61
1952,Female,62,24533,1621,COVID-19,1531,62
1952,Female,63,56768,3733,Cancer,3549,63
1952,Female,64,45458,3121,COVID-19,2920,64
1952,Female,65,90501,6186,Other,5699,65
1952,Female,66,85371,6157,Kidney Disease,5791,66
1952,Female,67,63098,4411,Accidents,4266,67
1952,Female,68,17632,1255,COVID-19,1185,68
1952,Female,69,55674,4135,Other,3892,69
1952,Female,70,53190,3951,Kidney Disease,3770,70
1952,Female,71,75215,5567,COVID-19,5213,71
1952,Female,72,35427,2705,Other,2519,72
1952,Female,73,82022,6390,Other,5991,73
1952,Female,74,50463,3954,Other,3751,74
1952,Female,75,32914,2588,Accidents,2536,75
1952,Female,76,88069,7018,Accidents,6582,76
1952,Female,77,59955,4863,Heart Disease,4532,77
1952,Female,78,29123,2352,Diabetes,2338,78
1952,Female,79,68317,5714,Accidents,5354,79
1952,Female,80,91314,7622,Accidents,7314,80
